material_id,formation_energy_per_atom,band_gap,pretty_formula,e_above_hull,elements,cif,spacegroup.number,crystal_system
mp-2816,-0.2675721827777781,0.0,Nd2Tl,0.0158333705555548,"['Nd', 'Tl']","# generated using pymatgen
data_Nd2Tl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.58904702
_cell_length_b   5.58904702
_cell_length_c   6.97181800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd2Tl
_chemical_formula_sum   'Nd4 Tl2'
_cell_volume   188.60456472
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.00000000  0.00000000  0.00000000  1.0
  Nd  Nd1  1  0.00000000  0.00000000  0.50000000  1.0
  Nd  Nd2  1  0.33333333  0.66666667  0.75000000  1.0
  Nd  Nd3  1  0.66666667  0.33333333  0.25000000  1.0
  Tl  Tl4  1  0.33333333  0.66666667  0.25000000  1.0
  Tl  Tl5  1  0.66666667  0.33333333  0.75000000  1.0
",194,hexagonal
mp-1078574,-0.57615807,0.0,HfNi2Sb,0.0,"['Hf', 'Ni', 'Sb']","# generated using pymatgen
data_HfNi2Sb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.20864570
_cell_length_b   4.20864570
_cell_length_c   8.21167700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfNi2Sb
_chemical_formula_sum   'Hf2 Ni4 Sb2'
_cell_volume   125.96422631
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.33333333  0.66666667  0.25000000  1.0
  Hf  Hf1  1  0.66666667  0.33333333  0.75000000  1.0
  Ni  Ni2  1  0.33333333  0.66666667  0.90382900  1.0
  Ni  Ni3  1  0.66666667  0.33333333  0.09617100  1.0
  Ni  Ni4  1  0.66666667  0.33333333  0.40382900  1.0
  Ni  Ni5  1  0.33333333  0.66666667  0.59617100  1.0
  Sb  Sb6  1  0.00000000  0.00000000  0.50000000  1.0
  Sb  Sb7  1  0.00000000  0.00000000  0.00000000  1.0
",194,hexagonal
mp-3553,-0.8186840693333336,0.0504000000000002,KTeAu,0.0,"['K', 'Te', 'Au']","# generated using pymatgen
data_KTeAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.75910267
_cell_length_b   4.75910267
_cell_length_c   10.07851100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KTeAu
_chemical_formula_sum   'K2 Te2 Au2'
_cell_volume   197.68656449
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.00000000  0.00000000  0.50000000  1.0
  K  K1  1  0.00000000  0.00000000  0.00000000  1.0
  Te  Te2  1  0.33333333  0.66666667  0.75000000  1.0
  Te  Te3  1  0.66666667  0.33333333  0.25000000  1.0
  Au  Au4  1  0.66666667  0.33333333  0.75000000  1.0
  Au  Au5  1  0.33333333  0.66666667  0.25000000  1.0
",194,hexagonal
mp-2918,-2.723188007916666,2.6529,YCuO2,0.0003215379687526,"['Y', 'Cu', 'O']","# generated using pymatgen
data_YCuO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.56339064
_cell_length_b   3.56339064
_cell_length_c   11.44876100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YCuO2
_chemical_formula_sum   'Y2 Cu2 O4'
_cell_volume   125.89717665
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.00000000  0.00000000  0.00000000  1.0
  Y  Y1  1  0.00000000  0.00000000  0.50000000  1.0
  Cu  Cu2  1  0.66666667  0.33333333  0.75000000  1.0
  Cu  Cu3  1  0.33333333  0.66666667  0.25000000  1.0
  O  O4  1  0.33333333  0.66666667  0.40973900  1.0
  O  O5  1  0.66666667  0.33333333  0.90973900  1.0
  O  O6  1  0.33333333  0.66666667  0.09026100  1.0
  O  O7  1  0.66666667  0.33333333  0.59026100  1.0
",194,hexagonal
mp-31330,-0.6992539877777778,0.0,NdInRh,0.0,"['Nd', 'In', 'Rh']","# generated using pymatgen
data_NdInRh
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.63531050
_cell_length_b   7.63531050
_cell_length_c   4.08413800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdInRh
_chemical_formula_sum   'Nd3 In3 Rh3'
_cell_volume   206.19799863
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.58563400  0.00000000  0.50000000  1.0
  Nd  Nd1  1  0.41436600  0.41436600  0.50000000  1.0
  Nd  Nd2  1  0.00000000  0.58563400  0.50000000  1.0
  In  In3  1  0.24783300  0.00000000  0.00000000  1.0
  In  In4  1  0.75216700  0.75216700  0.00000000  1.0
  In  In5  1  0.00000000  0.24783300  0.00000000  1.0
  Rh  Rh6  1  0.00000000  0.00000000  0.50000000  1.0
  Rh  Rh7  1  0.33333333  0.66666667  0.00000000  1.0
  Rh  Rh8  1  0.66666667  0.33333333  0.00000000  1.0
",189,hexagonal
mp-12520,-0.4190622329166666,0.0,SrNi2Ge,0.0,"['Sr', 'Ni', 'Ge']","# generated using pymatgen
data_SrNi2Ge
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.13073796
_cell_length_b   4.13073796
_cell_length_c   10.49970200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrNi2Ge
_chemical_formula_sum   'Sr2 Ni4 Ge2'
_cell_volume   155.15397132
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.66666667  0.33333333  0.75000000  1.0
  Sr  Sr1  1  0.33333333  0.66666667  0.25000000  1.0
  Ni  Ni2  1  0.66666667  0.33333333  0.03455800  1.0
  Ni  Ni3  1  0.33333333  0.66666667  0.53455800  1.0
  Ni  Ni4  1  0.33333333  0.66666667  0.96544200  1.0
  Ni  Ni5  1  0.66666667  0.33333333  0.46544200  1.0
  Ge  Ge6  1  0.00000000  0.00000000  0.50000000  1.0
  Ge  Ge7  1  0.00000000  0.00000000  0.00000000  1.0
",194,hexagonal
mp-153,0.00938616,0.0,Mg,0.00938616,['Mg'],"# generated using pymatgen
data_Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.20302747
_cell_length_b   3.20302747
_cell_length_c   5.12669100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg
_chemical_formula_sum   Mg2
_cell_volume   45.55007542
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.33333333  0.66666667  0.25000000  1.0
  Mg  Mg1  1  0.66666667  0.33333333  0.75000000  1.0
",194,hexagonal
mp-1105543,-0.9810471200000004,0.0,Tb5Pt3,0.0271313981249994,"['Pt', 'Tb']","# generated using pymatgen
data_Tb5Pt3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.45177984
_cell_length_b   8.45177984
_cell_length_c   6.29347100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb5Pt3
_chemical_formula_sum   'Tb10 Pt6'
_cell_volume   389.32941594
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.66666667  0.33333333  0.00000000  1.0
  Tb  Tb1  1  0.33333333  0.66666667  0.00000000  1.0
  Tb  Tb2  1  0.33333333  0.66666667  0.50000000  1.0
  Tb  Tb3  1  0.66666667  0.33333333  0.50000000  1.0
  Tb  Tb4  1  0.75297900  0.75297900  0.75000000  1.0
  Tb  Tb5  1  0.24702100  0.00000000  0.75000000  1.0
  Tb  Tb6  1  0.00000000  0.24702100  0.75000000  1.0
  Tb  Tb7  1  0.24702100  0.24702100  0.25000000  1.0
  Tb  Tb8  1  0.75297900  0.00000000  0.25000000  1.0
  Tb  Tb9  1  0.00000000  0.75297900  0.25000000  1.0
  Pt  Pt10  1  0.39394900  0.39394900  0.75000000  1.0
  Pt  Pt11  1  0.60605100  0.00000000  0.75000000  1.0
  Pt  Pt12  1  0.00000000  0.60605100  0.75000000  1.0
  Pt  Pt13  1  0.60605100  0.60605100  0.25000000  1.0
  Pt  Pt14  1  0.39394900  0.00000000  0.25000000  1.0
  Pt  Pt15  1  0.00000000  0.39394900  0.25000000  1.0
",193,hexagonal
mp-1189146,-0.3941443735185178,0.0,Sm3Ni13B2,0.0059285350000042,"['B', 'Ni', 'Sm']","# generated using pymatgen
data_Sm3Ni13B2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00559917
_cell_length_b   5.00559917
_cell_length_c   10.96788700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm3Ni13B2
_chemical_formula_sum   'Sm3 Ni13 B2'
_cell_volume   237.99385239
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.00000000  0.00000000  0.00000000  1.0
  Sm  Sm1  1  0.00000000  0.00000000  0.66916000  1.0
  Sm  Sm2  1  0.00000000  0.00000000  0.33084000  1.0
  Ni  Ni3  1  0.50000000  0.50000000  0.50000000  1.0
  Ni  Ni4  1  0.50000000  0.00000000  0.50000000  1.0
  Ni  Ni5  1  0.00000000  0.50000000  0.50000000  1.0
  Ni  Ni6  1  0.66666667  0.33333333  0.68078500  1.0
  Ni  Ni7  1  0.33333333  0.66666667  0.68078500  1.0
  Ni  Ni8  1  0.33333333  0.66666667  0.31921500  1.0
  Ni  Ni9  1  0.66666667  0.33333333  0.31921500  1.0
  Ni  Ni10  1  0.50000000  0.50000000  0.86648000  1.0
  Ni  Ni11  1  0.50000000  0.00000000  0.86648000  1.0
  Ni  Ni12  1  0.00000000  0.50000000  0.86648000  1.0
  Ni  Ni13  1  0.50000000  0.50000000  0.13352000  1.0
  Ni  Ni14  1  0.50000000  0.00000000  0.13352000  1.0
  Ni  Ni15  1  0.00000000  0.50000000  0.13352000  1.0
  B  B16  1  0.66666667  0.33333333  0.00000000  1.0
  B  B17  1  0.33333333  0.66666667  0.00000000  1.0
",191,hexagonal
mp-1189039,-0.3482270625000008,0.0,Er5In3,0.0142557349999998,"['Er', 'In']","# generated using pymatgen
data_Er5In3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.96851044
_cell_length_b   8.96851044
_cell_length_c   6.62215900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Er5In3
_chemical_formula_sum   'Er10 In6'
_cell_volume   461.28663499
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Er  Er0  1  0.66666667  0.33333333  0.00000000  1.0
  Er  Er1  1  0.33333333  0.66666667  0.00000000  1.0
  Er  Er2  1  0.33333333  0.66666667  0.50000000  1.0
  Er  Er3  1  0.66666667  0.33333333  0.50000000  1.0
  Er  Er4  1  0.75028600  0.75028600  0.75000000  1.0
  Er  Er5  1  0.24971400  0.00000000  0.75000000  1.0
  Er  Er6  1  0.00000000  0.24971400  0.75000000  1.0
  Er  Er7  1  0.24971400  0.24971400  0.25000000  1.0
  Er  Er8  1  0.75028600  0.00000000  0.25000000  1.0
  Er  Er9  1  0.00000000  0.75028600  0.25000000  1.0
  In  In10  1  0.39362400  0.39362400  0.75000000  1.0
  In  In11  1  0.60637600  0.00000000  0.75000000  1.0
  In  In12  1  0.00000000  0.60637600  0.75000000  1.0
  In  In13  1  0.60637600  0.60637600  0.25000000  1.0
  In  In14  1  0.39362400  0.00000000  0.25000000  1.0
  In  In15  1  0.00000000  0.39362400  0.25000000  1.0
",193,hexagonal
