material_id,formation_energy_per_atom,band_gap,pretty_formula,e_above_hull,elements,cif,spacegroup.number,crystal_system
mp-29127,-0.7901809292857145,1.1,Bi(TeBr2)2,0.0278979808928574,"['Bi', 'Br', 'Te']","# generated using pymatgen
data_Bi(TeBr2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.51445900
_cell_length_b   8.04406023
_cell_length_c   9.36347189
_cell_angle_alpha   91.57138379
_cell_angle_beta   102.75868788
_cell_angle_gamma   94.76176305
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Bi(TeBr2)2
_chemical_formula_sum   'Bi2 Te4 Br8'
_cell_volume   549.50135635
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Bi  Bi0  1  0.28746100  0.08481300  0.61283600  1.0
  Bi  Bi1  1  0.71253900  0.91518700  0.38716400  1.0
  Te  Te2  1  0.88406900  0.54728200  0.80192300  1.0
  Te  Te3  1  0.11593100  0.45271800  0.19807700  1.0
  Te  Te4  1  0.78179700  0.35886900  0.01151900  1.0
  Te  Te5  1  0.21820300  0.64113100  0.98848100  1.0
  Br  Br6  1  0.54230900  0.58926200  0.31117600  1.0
  Br  Br7  1  0.45769100  0.41073800  0.68882400  1.0
  Br  Br8  1  0.79104200  0.92944800  0.11861600  1.0
  Br  Br9  1  0.20895800  0.07055200  0.88138400  1.0
  Br  Br10  1  0.61794400  0.93381600  0.69729500  1.0
  Br  Br11  1  0.38205600  0.06618400  0.30270500  1.0
  Br  Br12  1  0.05295800  0.75679400  0.54026200  1.0
  Br  Br13  1  0.94704200  0.24320600  0.45973800  1.0
",2,triclinic
mp-777399,-1.941510789032566,0.0,Mn3O5F,0.0580682634722222,"['F', 'Mn', 'O']","# generated using pymatgen
data_Mn3O5F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.44549800
_cell_length_b   5.44901478
_cell_length_c   7.09839408
_cell_angle_alpha   72.81664317
_cell_angle_beta   72.74781064
_cell_angle_gamma   72.28404634
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn3O5F
_chemical_formula_sum   'Mn6 O10 F2'
_cell_volume   186.67481510
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.31691100  0.33174000  0.17459200  1.0
  Mn  Mn1  1  0.65787900  0.66790800  0.33184400  1.0
  Mn  Mn2  1  0.33956600  0.34916000  0.66698700  1.0
  Mn  Mn3  1  0.66901400  0.68413000  0.82928600  1.0
  Mn  Mn4  1  0.99199800  0.99474000  0.48933000  1.0
  Mn  Mn5  1  0.01939200  0.97839400  0.00938200  1.0
  O  O6  1  0.35309900  0.97219800  0.33555400  1.0
  O  O7  1  0.02831500  0.64598800  0.66508500  1.0
  O  O8  1  0.43369900  0.43236800  0.37214800  1.0
  O  O9  1  0.77176600  0.76897800  0.03799500  1.0
  O  O10  1  0.89156600  0.89381600  0.29836500  1.0
  O  O11  1  0.23313000  0.22932300  0.96275600  1.0
  O  O12  1  0.57112900  0.56795900  0.62836200  1.0
  O  O13  1  0.63963500  0.03569900  0.66376400  1.0
  O  O14  1  0.96508400  0.35865500  0.33675000  1.0
  O  O15  1  0.31252100  0.68590800  0.99981300  1.0
  F  F16  1  0.10205100  0.10468000  0.69896400  1.0
  F  F17  1  0.70324500  0.29835400  0.99902200  1.0
",1,triclinic
mp-625320,-2.012096328571429,4.6653,Al(HO)3,0.049211086785716,"['Al', 'H', 'O']","# generated using pymatgen
data_Al(HO)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.06290200
_cell_length_b   5.14666669
_cell_length_c   5.59663896
_cell_angle_alpha   64.62146756
_cell_angle_beta   64.60593928
_cell_angle_gamma   61.43879846
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al(HO)3
_chemical_formula_sum   'Al2 H6 O6'
_cell_volume   111.02131544
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.32521400  0.33310500  0.00670500  1.0
  Al  Al1  1  0.67478600  0.66689500  0.99329500  1.0
  H  H2  1  0.49747200  0.84620400  0.40525900  1.0
  H  H3  1  0.50252800  0.15379600  0.59474100  1.0
  H  H4  1  0.15273200  0.62530300  0.36684900  1.0
  H  H5  1  0.84726800  0.37469700  0.63315100  1.0
  H  H6  1  0.89303400  0.13613500  0.22861900  1.0
  H  H7  1  0.10696600  0.86386500  0.77138100  1.0
  O  O8  1  0.56586400  0.93617700  0.20747900  1.0
  O  O9  1  0.43413600  0.06382300  0.79252100  1.0
  O  O10  1  0.31234000  0.55433100  0.20929400  1.0
  O  O11  1  0.68766000  0.44566900  0.79070600  1.0
  O  O12  1  0.91984200  0.31375300  0.22323200  1.0
  O  O13  1  0.08015800  0.68624700  0.77676800  1.0
",2,triclinic
mp-1104341,0.0232133514285704,0.0,Nb,0.0232133514285699,['Nb'],"# generated using pymatgen
data_Nb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.78114200
_cell_length_b   4.67200266
_cell_length_c   9.95310401
_cell_angle_alpha   78.86128322
_cell_angle_beta   85.62437262
_cell_angle_gamma   88.02595986
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb
_chemical_formula_sum   Nb7
_cell_volume   126.49397323
_cell_formula_units_Z   7
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.64749700  0.21778500  0.57124900  1.0
  Nb  Nb1  1  0.35250300  0.78221500  0.42875100  1.0
  Nb  Nb2  1  0.93923700  0.65043800  0.71360100  1.0
  Nb  Nb3  1  0.06076300  0.34956200  0.28639900  1.0
  Nb  Nb4  1  0.22320900  0.07763000  0.85666900  1.0
  Nb  Nb5  1  0.77679100  0.92237000  0.14333100  1.0
  Nb  Nb6  1  0.50000000  0.50000000  0.00000000  1.0
",2,triclinic
mp-850285,-2.1579032429166665,0.8744,Ni6OF11,0.0360119202314788,"['F', 'Ni', 'O']","# generated using pymatgen
data_Ni6OF11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.69776300
_cell_length_b   5.63391862
_cell_length_c   7.78905698
_cell_angle_alpha   86.40087774
_cell_angle_beta   89.67108502
_cell_angle_gamma   89.57413605
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ni6OF11
_chemical_formula_sum   'Ni6 O1 F11'
_cell_volume   205.73637500
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.51115800  0.49431700  0.99664000  1.0
  Ni  Ni1  1  0.49763700  0.16785800  0.33479100  1.0
  Ni  Ni2  1  0.49926000  0.83232900  0.66584500  1.0
  Ni  Ni3  1  0.00336400  0.66561900  0.33129100  1.0
  Ni  Ni4  1  0.99184300  0.33453400  0.67335300  1.0
  Ni  Ni5  1  0.99436200  0.00657600  0.99880500  1.0
  O  O6  1  0.80490400  0.29634200  0.89917100  1.0
  F  F7  1  0.80395500  0.63143700  0.56471100  1.0
  F  F8  1  0.80367300  0.96468800  0.23248000  1.0
  F  F9  1  0.69663400  0.79778100  0.89796900  1.0
  F  F10  1  0.69475400  0.46546200  0.23319900  1.0
  F  F11  1  0.69710300  0.12959700  0.56518500  1.0
  F  F12  1  0.30378200  0.86858700  0.43352100  1.0
  F  F13  1  0.30440400  0.53505200  0.76788900  1.0
  F  F14  1  0.30343400  0.20339400  0.10196400  1.0
  F  F15  1  0.19877400  0.03566100  0.76758100  1.0
  F  F16  1  0.19261100  0.36803300  0.43908800  1.0
  F  F17  1  0.19834800  0.70273100  0.09651700  1.0
",1,triclinic
mp-613162,-0.9649357139924568,1.0499000000000005,CsSnSe3,0.003953904000002,"['Cs', 'Sn', 'Se']","# generated using pymatgen
data_CsSnSe3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.22774000
_cell_length_b   7.64469608
_cell_length_c   8.20689683
_cell_angle_alpha   97.41780048
_cell_angle_beta   115.03052770
_cell_angle_gamma   107.84796298
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsSnSe3
_chemical_formula_sum   'Cs2 Sn2 Se6'
_cell_volume   373.08079104
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.22932700  0.19113600  0.86183900  1.0
  Cs  Cs1  1  0.77067300  0.80886400  0.13816100  1.0
  Sn  Sn2  1  0.22127700  0.51066500  0.42634400  1.0
  Sn  Sn3  1  0.77872300  0.48933500  0.57365600  1.0
  Se  Se4  1  0.66064900  0.77533300  0.55847800  1.0
  Se  Se5  1  0.18340200  0.61399900  0.12099300  1.0
  Se  Se6  1  0.33935100  0.22466700  0.44152200  1.0
  Se  Se7  1  0.22461500  0.69798000  0.71518500  1.0
  Se  Se8  1  0.77538500  0.30202000  0.28481500  1.0
  Se  Se9  1  0.81659800  0.38600100  0.87900700  1.0
",2,triclinic
mp-1173387,-2.002455155,3.6071,PbWO4,0.0516861808333324,"['O', 'Pb', 'W']","# generated using pymatgen
data_PbWO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.57870700
_cell_length_b   5.61591112
_cell_length_c   7.21995131
_cell_angle_alpha   112.83771254
_cell_angle_beta   112.56008230
_cell_angle_gamma   89.98798157
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PbWO4
_chemical_formula_sum   'Pb2 W2 O8'
_cell_volume   189.55234892
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pb  Pb0  1  0.87299700  0.61892800  0.75023200  1.0
  Pb  Pb1  1  0.12700300  0.38107200  0.24976800  1.0
  W  W2  1  0.62091000  0.87554100  0.25112100  1.0
  W  W3  1  0.37909000  0.12445900  0.74887900  1.0
  O  O4  1  0.43451000  0.80900700  0.57877000  1.0
  O  O5  1  0.84971100  0.72633300  0.41449300  1.0
  O  O6  1  0.69523600  0.34979700  0.91525900  1.0
  O  O7  1  0.76495800  0.93110000  0.08048700  1.0
  O  O8  1  0.23504200  0.06890000  0.91951300  1.0
  O  O9  1  0.30476400  0.65020300  0.08474100  1.0
  O  O10  1  0.15028900  0.27366700  0.58550700  1.0
  O  O11  1  0.56549000  0.19099300  0.42123000  1.0
",2,triclinic
mp-756793,-2.8116986108771926,2.8733,Li2Nb4ZnO12,0.0239990238158416,"['Li', 'Nb', 'O', 'Zn']","# generated using pymatgen
data_Li2Nb4ZnO12
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.24420300
_cell_length_b   5.61193757
_cell_length_c   7.69429248
_cell_angle_alpha   95.24515583
_cell_angle_beta   90.13904174
_cell_angle_gamma   90.19217614
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2Nb4ZnO12
_chemical_formula_sum   'Li2 Nb4 Zn1 O12'
_cell_volume   225.49378736
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.50332200  0.94408500  0.27658200  1.0
  Li  Li1  1  0.99782200  0.43310200  0.78507800  1.0
  Nb  Nb2  1  0.50757000  0.50100300  0.99503000  1.0
  Nb  Nb3  1  0.49708500  0.50947900  0.50992700  1.0
  Nb  Nb4  1  0.99580100  0.00440400  0.50079800  1.0
  Nb  Nb5  1  0.00692200  0.99001900  0.99212800  1.0
  Zn  Zn6  1  0.99765900  0.44046200  0.27170000  1.0
  O  O7  1  0.81759700  0.35204000  0.53960100  1.0
  O  O8  1  0.63145500  0.54279800  0.23393000  1.0
  O  O9  1  0.68522000  0.84130300  0.52515700  1.0
  O  O10  1  0.87853000  0.05416400  0.23201600  1.0
  O  O11  1  0.81402700  0.71637100  0.91872300  1.0
  O  O12  1  0.31388700  0.84730500  0.05027900  1.0
  O  O13  1  0.70515700  0.23789100  0.92552700  1.0
  O  O14  1  0.10289600  0.04907800  0.73478200  1.0
  O  O15  1  0.18444800  0.35303600  0.04523900  1.0
  O  O16  1  0.36706800  0.53051800  0.73631200  1.0
  O  O17  1  0.30412900  0.23126900  0.41512700  1.0
  O  O18  1  0.18940300  0.71985400  0.41297300  1.0
",1,triclinic
mp-756032,-2.579360656388889,0.5584000000000002,V3O5F,0.0276176427777645,"['F', 'O', 'V']","# generated using pymatgen
data_V3O5F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.58448200
_cell_length_b   5.50301354
_cell_length_c   7.65269160
_cell_angle_alpha   87.08522761
_cell_angle_beta   89.07980690
_cell_angle_gamma   88.64423764
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V3O5F
_chemical_formula_sum   'V6 O10 F2'
_cell_volume   192.74058187
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.50000000  0.50000000  0.50000000  1.0
  V  V1  1  0.49151300  0.16042300  0.82751900  1.0
  V  V2  1  0.50848700  0.83957700  0.17248100  1.0
  V  V3  1  0.00000000  0.00000000  0.50000000  1.0
  V  V4  1  0.98204600  0.33108600  0.14981400  1.0
  V  V5  1  0.01795400  0.66891400  0.85018600  1.0
  O  O6  1  0.79752700  0.03333500  0.26197100  1.0
  O  O7  1  0.79797400  0.37071700  0.93256600  1.0
  O  O8  1  0.70185400  0.86918700  0.93018200  1.0
  O  O9  1  0.68814400  0.19959000  0.60226900  1.0
  O  O10  1  0.70775800  0.53002200  0.26747100  1.0
  O  O11  1  0.31185600  0.80041000  0.39773100  1.0
  O  O12  1  0.29814600  0.13081300  0.06981800  1.0
  O  O13  1  0.29224200  0.46997800  0.73252900  1.0
  O  O14  1  0.20202600  0.62928300  0.06743400  1.0
  O  O15  1  0.20247300  0.96666500  0.73802900  1.0
  F  F16  1  0.80901200  0.69679700  0.60823100  1.0
  F  F17  1  0.19098800  0.30320300  0.39176900  1.0
",2,triclinic
mp-780243,-2.212030808166668,0.2004000000000001,Li5Ti2Cu3O10,0.0558171044999999,"['Cu', 'Li', 'O', 'Ti']","# generated using pymatgen
data_Li5Ti2Cu3O10
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09967400
_cell_length_b   5.55360832
_cell_length_c   7.64847608
_cell_angle_alpha   103.22959594
_cell_angle_beta   103.31965343
_cell_angle_gamma   105.81998837
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li5Ti2Cu3O10
_chemical_formula_sum   'Li5 Ti2 Cu3 O10'
_cell_volume   192.71405574
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.20896900  0.88724900  0.38428000  1.0
  Li  Li1  1  0.40654300  0.30647500  0.79838400  1.0
  Li  Li2  1  0.50000000  0.50000000  0.50000000  1.0
  Li  Li3  1  0.59345700  0.69352500  0.20161600  1.0
  Li  Li4  1  0.79103100  0.11275100  0.61572000  1.0
  Ti  Ti5  1  0.09564700  0.69548700  0.69403900  1.0
  Ti  Ti6  1  0.90435300  0.30451300  0.30596100  1.0
  Cu  Cu7  1  0.00000000  0.50000000  0.00000000  1.0
  Cu  Cu8  1  0.69776000  0.88830600  0.90022300  1.0
  Cu  Cu9  1  0.30224000  0.11169400  0.09977700  1.0
  O  O10  1  0.05836800  0.03223300  0.84085900  1.0
  O  O11  1  0.35296800  0.67452900  0.93265700  1.0
  O  O12  1  0.12861300  0.32888900  0.54513000  1.0
  O  O13  1  0.21639800  0.52631200  0.24523900  1.0
  O  O14  1  0.45748200  0.87851000  0.66560700  1.0
  O  O15  1  0.54251800  0.12149000  0.33439300  1.0
  O  O16  1  0.78360200  0.47368800  0.75476100  1.0
  O  O17  1  0.87138700  0.67111100  0.45487000  1.0
  O  O18  1  0.64703200  0.32547100  0.06734300  1.0
  O  O19  1  0.94163200  0.96776700  0.15914100  1.0
",2,triclinic
